Timestamp,Threat Type,Source IP,Destination IP,Ports
2025-12-15 21:58:28,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:30,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:32,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:35,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:37,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:39,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:58:41,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:43,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:45,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:58:47,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:49,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:51,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:53,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:55,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:57,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:58:59,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:59:01,Possible DDoS,50.116.1.184,N/A,50813
2025-12-15 21:59:03,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:05,Possible DDoS,192.168.1.106,N/A,587
2025-12-15 21:59:07,Port Scanning,172.217.194.109,N/A,"[58657, 64323, 64324, 64325, 64326, 64327, 58659, 64329, 64330, 64333, 64335]"
2025-12-15 21:59:34,Port Scanning,192.168.1.1,N/A,"[61824, 50625, 51106, 57219, 62213, 51115, 63884, 54767, 63511, 60216, 54363]"
2025-12-15 21:59:36,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:37,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:39,Port Scanning,192.168.1.1,N/A,"[64899, 50276, 54981, 53059, 51271, 64552, 49643, 55084, 52985, 49818, 59388]"
2025-12-15 21:59:40,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:42,Port Scanning,192.168.1.1,N/A,"[52103, 52587, 52748, 65263, 59536, 58969, 55606, 64087, 58137, 51324, 54525]"
2025-12-15 21:59:44,Possible DDoS,23.206.173.80,N/A,52688
2025-12-15 21:59:46,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:47,Possible DDoS,23.206.173.80,N/A,52688
2025-12-15 21:59:49,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:51,Port Scanning,192.168.1.1,N/A,"[54693, 54246, 63398, 65128, 50125, 65198, 64270, 51281, 61170, 53301, 63321]"
2025-12-15 21:59:52,Possible DDoS,104.19.223.79,N/A,45125
2025-12-15 21:59:54,Possible DDoS,104.19.223.79,N/A,45125
2025-12-15 21:59:55,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:57,Possible DDoS,104.19.223.79,N/A,59888
2025-12-15 21:59:58,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:59:59,Possible DDoS,104.19.223.79,N/A,59888
2025-12-15 22:00:01,Possible DDoS,142.251.221.232,N/A,41319
2025-12-15 22:00:03,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:00:05,Possible DDoS,192.168.1.106,N/A,587
2025-12-15 22:00:07,Port Scanning,172.217.194.109,N/A,"[9536, 9537, 8550, 9526, 9527, 9530, 9531, 9532, 9533, 9534, 9535]"
2025-12-15 22:00:13,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:01:09,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:01:10,Port Scanning,192.168.1.1,N/A,"[53088, 64866, 64744, 52587, 58733, 60718, 55088, 57045, 50965, 51513, 52159]"
2025-12-15 22:01:56,Port Scanning,192.168.1.1,N/A,"[61282, 63618, 54695, 64203, 51181, 49968, 54770, 62261, 65046, 60476, 64958]"
2025-12-15 22:01:58,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:02:00,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:02:03,Possible DDoS,23.206.173.48,N/A,58934
2025-12-15 22:02:05,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:02:16,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:02:22,Port Scanning,192.168.1.1,N/A,"[49536, 62753, 56161, 62554, 51052, 57900, 52530, 51795, 58202, 63614, 61471]"
2025-12-15 22:02:25,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:04:26,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:08:10,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:08:12,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:08:14,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:08:16,Malicious IP (OSINT),8.8.8.8,192.168.1.106,
2025-12-15 22:08:59,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:09:05,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:09:49,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:10:05,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:10:14,Possible DDoS,192.168.1.106,N/A,443
